condition,specialty,symptoms,description,recommended_action,severity
Influenza,General Medicine,"fever, chills, muscle aches, cough, fatigue, headache, sore throat","Influenza (flu) is a contagious respiratory illness caused by influenza viruses that infect the nose, throat, and lungs.","Rest, fluids, antiviral medication if within 48 hours of onset, over-the-counter fever reducers. See a doctor if symptoms worsen or breathing difficulty occurs.",Moderate
Type 2 Diabetes Mellitus,Endocrinology,"increased thirst, frequent urination, fatigue, blurred vision, slow-healing sores, unexplained weight loss","A chronic condition affecting how the body processes blood sugar (glucose), often linked to insulin resistance.","Blood glucose testing, dietary changes, metformin or other prescribed medication, regular monitoring by an endocrinologist.",Chronic
Hypertension,Cardiology,"often asymptomatic, headache, shortness of breath, nosebleeds, dizziness","Persistently elevated blood pressure that increases risk of heart disease and stroke.","Regular blood pressure monitoring, lifestyle changes (diet, exercise, reduced sodium), antihypertensive medication as prescribed.",Chronic
Migraine,Neurology,"severe throbbing headache, nausea, sensitivity to light, sensitivity to sound, visual aura","A neurological condition causing intense, debilitating headaches often on one side of the head.","Rest in a dark quiet room, prescribed migraine-specific medication (triptans), identify and avoid triggers, consult neurologist for recurrent cases.",Moderate
Community-Acquired Pneumonia,Pulmonology,"cough with phlegm, fever, chills, shortness of breath, chest pain when breathing, fatigue","An infection that inflames the air sacs in one or both lungs, which may fill with fluid.","Chest X-ray, antibiotics if bacterial, rest and hydration, hospitalization for severe cases especially in elderly or immunocompromised patients.",High
Gastroesophageal Reflux Disease (GERD),Gastroenterology,"heartburn, regurgitation, chest discomfort, difficulty swallowing, chronic cough","A digestive disorder where stomach acid frequently flows back into the esophagus, irritating its lining.","Dietary modification, avoid trigger foods, proton pump inhibitors or H2 blockers, elevate head during sleep.",Moderate
Acute Coronary Syndrome,Cardiology,"chest pain or pressure, pain radiating to arm or jaw, shortness of breath, sweating, nausea, lightheadedness","A range of conditions associated with sudden, reduced blood flow to the heart, including heart attack.","EMERGENCY: Call emergency services immediately. ECG, cardiac enzyme testing, aspirin if not contraindicated, urgent cardiology evaluation.",Critical
Asthma,Pulmonology,"wheezing, shortness of breath, chest tightness, coughing especially at night or early morning","A chronic condition in which airways narrow, swell, and produce extra mucus, making breathing difficult.","Use prescribed inhaler (bronchodilator), identify and avoid triggers, spirometry testing, pulmonologist follow-up for persistent symptoms.",Moderate
Urinary Tract Infection,Urology,"burning sensation during urination, frequent urge to urinate, cloudy urine, pelvic pain, low fever","An infection in any part of the urinary system, most commonly the bladder and urethra.","Urinalysis and culture, prescribed antibiotics, increased fluid intake, follow-up if symptoms persist beyond 48 hours of treatment.",Moderate
Major Depressive Disorder,Psychiatry,"persistent sadness, loss of interest, fatigue, sleep disturbances, difficulty concentrating, feelings of worthlessness","A mental health disorder characterized by persistently depressed mood and loss of interest in activities.","Psychiatric evaluation, psychotherapy (CBT), consider antidepressant medication, crisis line referral if suicidal ideation present.",High
Hypothyroidism,Endocrinology,"fatigue, weight gain, cold intolerance, dry skin, constipation, depression","A condition in which the thyroid gland does not produce enough thyroid hormone.","Thyroid function tests (TSH, T4), levothyroxine replacement therapy, periodic monitoring by endocrinologist.",Chronic
Appendicitis,General Surgery,"lower right abdominal pain, nausea, vomiting, loss of appetite, fever, abdominal swelling","Inflammation of the appendix that can lead to rupture and peritonitis if untreated.","EMERGENCY: Immediate surgical evaluation. Avoid food and pain medication until assessed. CT scan or ultrasound to confirm diagnosis.",Critical
Osteoarthritis,Orthopedics,"joint pain, stiffness, reduced range of motion, swelling, especially after activity","Degenerative joint disease caused by breakdown of cartilage, commonly affecting knees, hips, and hands.","Physical therapy, weight management, NSAIDs for pain, joint imaging, orthopedic consultation for advanced cases.",Chronic
Anemia (Iron-Deficiency),Hematology,"fatigue, pale skin, shortness of breath, dizziness, cold hands and feet, brittle nails","A condition where the blood lacks adequate healthy red blood cells due to insufficient iron.","Complete blood count, iron studies, iron supplementation, dietary changes, investigate underlying cause of blood loss.",Moderate
Allergic Rhinitis,Allergy/Immunology,"sneezing, runny or stuffy nose, itchy eyes, nasal congestion, postnasal drip","An allergic response causing cold-like symptoms, triggered by allergens such as pollen or dust.","Antihistamines, nasal corticosteroid sprays, allergen avoidance, allergy testing for persistent cases.",Mild
Chronic Kidney Disease,Nephrology,"fatigue, swelling in legs and ankles, changes in urination, nausea, poor appetite, muscle cramps","Gradual loss of kidney function over time, which can progress to kidney failure if untreated.","Blood and urine tests (creatinine, eGFR), blood pressure control, dietary sodium/protein management, nephrology referral.",Chronic
Stroke (Cerebrovascular Accident),Neurology,"sudden numbness or weakness on one side, confusion, trouble speaking, vision problems, severe headache, loss of balance","A medical emergency where blood supply to part of the brain is interrupted, causing brain cell damage.","EMERGENCY: Call emergency services immediately (FAST protocol). CT/MRI brain imaging, time-sensitive thrombolytic therapy if eligible.",Critical
Irritable Bowel Syndrome,Gastroenterology,"abdominal pain, bloating, gas, diarrhea or constipation, mucus in stool","A common disorder affecting the large intestine, causing chronic digestive symptoms without visible inflammation.","Dietary modification (low FODMAP), stress management, fiber supplements or antispasmodics, gastroenterology follow-up if red-flag symptoms occur.",Moderate
Generalized Anxiety Disorder,Psychiatry,"excessive worry, restlessness, muscle tension, fatigue, difficulty concentrating, sleep disturbance","A mental health condition characterized by persistent and excessive worry about various aspects of life.","Psychological evaluation, cognitive behavioral therapy, consider anxiolytic or SSRI medication, lifestyle and stress-reduction strategies.",Moderate
Conjunctivitis,Ophthalmology,"redness, itching, discharge, watery eyes, gritty sensation, crusting of eyelids","Inflammation or infection of the conjunctiva, commonly known as pink eye, which can be viral, bacterial, or allergic.","Warm compresses, avoid touching/rubbing eyes, antibiotic drops if bacterial, good hygiene to prevent spread.",Mild
Deep Vein Thrombosis,Vascular Medicine,"leg swelling, pain or tenderness, warmth in affected area, red or discolored skin","Formation of a blood clot in a deep vein, usually in the leg, which can be life-threatening if it travels to the lungs.","EMERGENCY evaluation recommended. Doppler ultrasound, anticoagulation therapy, urgent vascular medicine consultation.",Critical
